Title,Faction,,Type
Salvo Testing,Haas-Bioroid,5,Agenda
Stegodon MK IV,Haas-Bioroid,3,Agenda
Wage Workers,Haas-Bioroid,2,Asset
Jaguarundi,Haas-Bioroid,4,Ice
M.I.C.,Haas-Bioroid,6,Ice
Ablative Barrier,Haas-Bioroid,2,Ice
Greasing the Palm,Haas-Bioroid,3,Operation
Vovô Ozetti,Haas-Bioroid,1,Upgrade
Fujii Asset Retrieval,Jinteki,5,Agenda
Front Company,Jinteki,2,Asset
Tatu-Bola,Jinteki,2,Ice
Phoneutria,Jinteki,4,Ice
Attini,Jinteki,6,Ice
A Teia: IP Recovery,Jinteki,,Identity
Mindscaping,Jinteki,2,Operation
Daniela Jorge Inácio,Jinteki,2,Upgrade
Adrian Seis,Jinteki,0,Upgrade
Oracle Thinktank,NBN,3,Agenda
Federal Fundraising,NBN,0,Asset
Behold!,NBN,0,Asset
Balanced Coverage,NBN,1,Asset
Starlit Knight,NBN,5,Ice
Virtual Service Agent,NBN,2,Ice
Epiphany Analytica: Nations Undivided,NBN,,Identity
Oppo Research,NBN,2,Operation
Your Digital Life,NBN,2,Operation
Slash and Burn Agriculture,Weyland,4,Agenda
Cybersand Harvester,Weyland,2,Asset
Tree Line,Weyland,4,Ice
Valentão,Weyland,5,Ice
Armed Asset Protection,Weyland,2,Operation
Pivot,Weyland,1,Operation
Tucana,Weyland,2,Upgrade
Angelique Garza Correa,Weyland,0,Upgrade
B-1001,Neutral Corp,1,Asset
